id,cust_id,store_id,products,transaction_date
144,503,18,"['AUT-00000717', 'AUT-00001382', 'FIT-00002072', 'FIT-00002208']",1991-04-04
145,614,16,['FIT-00000687'],1995-09-04
146,920,32,"['FIT-00001148', 'LAP-00000251', 'AUT-00000899', 'LAP-00000064']",1995-11-02
147,795,27,['LAP-00000414'],1998-06-09
148,663,34,"['AUT-00000127', 'AUT-00000460', 'FIT-00001306', 'FIT-00000746']",1990-04-04
149,338,20,['FIT-00001075'],1994-09-29
150,306,15,"['FIT-00000770', 'LAP-00000295', 'FIT-00002313']",2000-06-19
151,155,23,"['FIT-00000556', 'FIT-00000205', 'AUT-00001091', 'FIT-00000025']",2000-06-20
152,261,31,"['LAP-00000455', 'LAP-00000395', 'FIT-00000294', 'AUT-00001334']",1997-05-18
153,753,4,"['FIT-00001614', 'AUT-00000686', 'AUT-00000777', 'FIT-00002301']",1992-08-02
154,397,18,['FIT-00000978'],1990-08-21
155,415,15,"['LAP-00000295', 'FIT-00000062', 'AUT-00000419']",1996-07-06
156,914,30,"['CEL-00000501', 'FIT-00002344', 'FIT-00000290']",1997-08-27
157,302,17,"['AUT-00000097', 'AUT-00000215', 'AUT-00000978']",2000-10-01
158,515,4,"['AUT-00001137', 'AUT-00001297']",1995-12-18
159,652,1,['LAP-00000456'],1993-09-04
160,766,32,"['AUT-00000162', 'CEL-00000434', 'FIT-00001233', 'FIT-00001647']",1995-12-29
161,837,8,"['AUT-00000542', 'FIT-00002300', 'FIT-00001457', 'FIT-00001408']",1990-01-10
162,369,11,['FIT-00002322'],1995-10-29
163,769,28,"['AUT-00001268', 'FIT-00002090', 'FIT-00002239']",1991-10-30
164,359,32,"['CEL-00000250', 'FIT-00002199']",1998-03-12
165,926,3,"['FIT-00000877', 'FIT-00001665', 'AUT-00001132']",1999-05-09
166,422,19,"['FIT-00000492', 'FIT-00000881', 'FIT-00002277']",1998-11-15
167,577,9,"['AUT-00001166', 'FIT-00001154', 'AUT-00000711']",1990-05-21
168,23,0,['AUT-00000247'],1999-04-30
169,121,0,"['AUT-00000231', 'AUT-00000808']",1994-12-02
170,343,3,"['LAP-00000495', 'AUT-00000838', 'FIT-00000707', 'CEL-00000397']",1991-09-20
171,764,22,"['FIT-00001835', 'CEL-00000610']",1995-11-16
172,252,10,"['FIT-00000903', 'LAP-00000598', 'FIT-00000383']",2000-07-27
173,528,30,"['FIT-00001243', 'FIT-00000576', 'AUT-00001098', 'FIT-00000640']",1993-01-02
174,121,22,"['AUT-00001208', 'FIT-00000564', 'AUT-00000463', 'AUT-00000451']",1998-12-08
175,965,6,"['AUT-00001402', 'LAP-00000032']",1998-09-09
176,884,15,"['LAP-00000575', 'FIT-00000905', 'AUT-00000581', 'FIT-00000124']",1998-05-15
177,771,18,"['AUT-00000229', 'FIT-00002167', 'CEL-00000687']",1993-11-29
178,805,33,"['AUT-00000473', 'FIT-00000096']",1997-03-09
179,500,25,"['LAP-00000550', 'AUT-00000026', 'LAP-00000289']",1991-01-02
180,5,2,"['FIT-00001264', 'FIT-00000113', 'FIT-00001653']",1996-12-06
181,408,32,"['CEL-00000508', 'FIT-00001863']",1995-05-30
182,111,1,"['FIT-00000883', 'AUT-00000550']",1990-04-11
183,2,10,"['AUT-00001336', 'CEL-00000189']",1990-03-15
184,626,31,['AUT-00000074'],1999-08-05
185,159,29,"['AUT-00000251', 'FIT-00002277', 'FIT-00001863']",1993-12-01
186,320,32,"['CEL-00000284', 'CEL-00000121', 'LAP-00000179', 'AUT-00000716']",1997-12-04
187,363,7,['AUT-00000344'],1990-09-15
188,424,30,"['CEL-00000033', 'AUT-00000225', 'FIT-00000239', 'FIT-00000157']",1993-09-29
189,821,2,"['FIT-00000242', 'AUT-00001266', 'FIT-00001529']",1992-06-04
190,634,19,"['FIT-00001708', 'FIT-00000201', 'FIT-00000835', 'LAP-00000133']",1996-07-13
191,763,22,"['FIT-00001076', 'FIT-00002276']",1992-11-17
192,361,11,"['FIT-00001455', 'FIT-00002187', 'LAP-00000583']",1995-05-23
193,53,12,['AUT-00000934'],1996-09-01
194,803,26,['LAP-00000806'],1998-11-06
195,80,31,['LAP-00000217'],1993-04-15
196,197,17,"['FIT-00001385', 'FIT-00000053', 'FIT-00001966']",1990-01-28
197,113,12,"['LAP-00000573', 'AUT-00001408', 'FIT-00002295', 'FIT-00000755']",1995-02-28
198,580,26,['FIT-00002231'],2000-05-03
199,72,24,"['FIT-00002213', 'FIT-00000767']",1999-06-13
200,201,7,['CEL-00000709'],1997-04-24
201,69,2,"['CEL-00000271', 'LAP-00000029', 'FIT-00000882']",1991-11-15
202,520,14,['CEL-00000720'],1991-09-06
203,18,24,['CEL-00000164'],1997-05-14
204,619,0,"['LAP-00000181', 'FIT-00000917']",1992-01-29
205,168,30,"['CEL-00000134', 'FIT-00002266']",1995-07-14
206,972,11,"['CEL-00000101', 'FIT-00000030', 'FIT-00001323']",1993-05-08
207,482,5,['FIT-00000002'],2000-10-03
208,269,21,"['FIT-00001807', 'AUT-00000982']",1996-03-02
209,795,1,"['FIT-00001324', 'FIT-00001930', 'CEL-00000463', 'AUT-00001152']",1997-08-31
210,170,24,"['FIT-00001238', 'FIT-00001854', 'FIT-00000648']",2000-07-28
211,549,0,['AUT-00001358'],1994-05-22
212,312,3,"['AUT-00000087', 'FIT-00002167']",1996-04-26
213,320,21,"['FIT-00002270', 'AUT-00001347', 'LAP-00000481', 'FIT-00002241']",1990-05-22
214,397,7,"['LAP-00000033', 'FIT-00002253', 'FIT-00000824', 'LAP-00000575']",2000-04-01
215,537,16,"['LAP-00000354', 'CEL-00000031']",1996-07-06
216,338,18,"['CEL-00000764', 'FIT-00002237', 'FIT-00000117']",1996-11-10
217,945,16,"['AUT-00000345', 'FIT-00000976', 'AUT-00000007', 'LAP-00000524']",1992-12-09
218,971,14,"['CEL-00000631', 'AUT-00000173', 'FIT-00000469', 'FIT-00001764']",1993-03-08
219,776,24,"['FIT-00001946', 'FIT-00000893', 'AUT-00000660']",1998-04-15
220,402,13,"['AUT-00000748', 'FIT-00001320']",1999-05-21
221,606,26,"['FIT-00002036', 'FIT-00000949', 'FIT-00000921']",1996-10-27
222,993,4,['FIT-00001032'],1991-05-25
223,213,16,"['AUT-00000261', 'AUT-00000465', 'AUT-00000388', 'FIT-00000040']",1994-10-18
224,930,32,"['FIT-00001535', 'AUT-00000234', 'AUT-00000039']",2000-07-03
225,76,20,"['CEL-00000318', 'FIT-00000725', 'LAP-00000122', 'AUT-00001015']",1990-09-01
226,74,8,['FIT-00002184'],1995-08-16
227,751,18,['FIT-00000940'],1999-06-01
228,848,15,['LAP-00000721'],1991-05-18
229,505,3,['LAP-00000090'],1998-03-07
230,638,15,"['FIT-00000902', 'AUT-00001108', 'FIT-00000417']",1999-05-29
231,71,4,"['AUT-00000428', 'AUT-00001145']",1997-07-07
232,188,11,['FIT-00001882'],1992-05-03
233,528,26,"['AUT-00000703', 'FIT-00001652', 'AUT-00000682']",2000-08-14
234,786,29,"['AUT-00000203', 'FIT-00001840', 'LAP-00000457', 'CEL-00000115']",1997-01-01
235,826,17,"['FIT-00000970', 'FIT-00001474', 'FIT-00001555', 'FIT-00002189']",1993-04-15
236,392,5,"['FIT-00000162', 'AUT-00000774', 'AUT-00000633']",1993-07-14
237,149,2,['FIT-00000386'],1990-12-15
238,521,23,"['CEL-00000557', 'LAP-00000808', 'LAP-00000021']",1991-10-11
239,820,34,"['LAP-00000546', 'AUT-00000896', 'LAP-00000506', 'AUT-00000774']",1998-05-05
240,876,25,"['FIT-00002219', 'AUT-00000401', 'CEL-00000360']",1990-04-14
241,954,21,"['FIT-00001569', 'AUT-00000971', 'AUT-00000212', 'AUT-00000735']",1993-08-05
242,93,6,['FIT-00001195'],2000-11-23
243,766,23,"['CEL-00000508', 'FIT-00000712', 'LAP-00000263', 'FIT-00000561']",1996-04-27
244,99,29,"['CEL-00000490', 'CEL-00000153', 'LAP-00000544', 'CEL-00000578']",1992-08-30
245,111,9,"['FIT-00000098', 'FIT-00000883', 'FIT-00001976']",1991-11-05
246,606,25,"['FIT-00001387', 'FIT-00000165', 'AUT-00000957']",1999-03-29
247,274,4,"['FIT-00000648', 'AUT-00000538']",1990-09-14
248,207,33,['AUT-00000065'],1999-11-16
249,521,20,['LAP-00000485'],1994-10-26
250,931,4,['AUT-00000834'],1991-01-08
251,262,10,"['LAP-00000503', 'FIT-00001882']",1991-06-27
252,966,33,"['CEL-00000600', 'AUT-00001403', 'FIT-00001492', 'FIT-00002034']",1999-05-16
253,230,3,"['AUT-00001258', 'LAP-00000749']",1998-11-03
254,929,7,"['FIT-00000516', 'FIT-00001933', 'FIT-00000915']",1992-07-01
255,472,4,"['AUT-00000815', 'AUT-00000512', 'AUT-00000034']",1998-11-08
256,99,22,['FIT-00000603'],1992-09-10
257,6,24,"['AUT-00000770', 'AUT-00001298', 'FIT-00001354', 'FIT-00001081']",1992-02-15
258,804,13,"['FIT-00001424', 'FIT-00001104']",1998-04-25
259,745,0,"['LAP-00000256', 'AUT-00000769', 'AUT-00000146', 'FIT-00001116']",1996-02-27
260,652,34,"['FIT-00002203', 'AUT-00000230', 'FIT-00002076', 'AUT-00000966']",1992-06-27
261,216,32,"['AUT-00001227', 'AUT-00000499', 'FIT-00001383', 'FIT-00000745']",2000-05-05
262,768,5,"['FIT-00000122', 'LAP-00000217', 'FIT-00001091', 'LAP-00000000']",1999-04-11
263,844,9,['CEL-00000148'],2000-03-19
264,299,7,"['LAP-00000270', 'AUT-00000081']",1993-01-01
265,364,13,"['FIT-00000770', 'FIT-00001130']",1997-05-23
266,819,11,"['FIT-00000528', 'FIT-00001252', 'CEL-00000701', 'FIT-00000524']",2000-09-20
267,733,13,"['FIT-00001183', 'AUT-00000106', 'FIT-00000972']",1995-03-27
268,847,32,['FIT-00001403'],1998-10-23
269,306,10,"['AUT-00001324', 'CEL-00000769']",1997-07-28
270,776,11,"['CEL-00000417', 'AUT-00000895', 'FIT-00001153', 'AUT-00001424']",1993-02-05
271,218,14,"['AUT-00001380', 'AUT-00000423']",1991-04-18
272,772,13,['LAP-00000015'],1990-08-25
273,630,0,['LAP-00000686'],1995-10-19
274,744,0,"['FIT-00000424', 'LAP-00000775', 'AUT-00001096']",1997-09-06
275,501,24,"['AUT-00000391', 'AUT-00001135', 'FIT-00001558']",2000-12-08
276,661,14,"['AUT-00000933', 'AUT-00000687', 'AUT-00000652', 'FIT-00000913']",1995-04-18
277,445,5,"['FIT-00000194', 'LAP-00000589', 'LAP-00000202']",1992-09-27
278,547,10,"['FIT-00001194', 'FIT-00000566', 'FIT-00001994', 'LAP-00000204']",1995-01-28
279,389,0,"['AUT-00000475', 'FIT-00000292', 'FIT-00000045', 'FIT-00000766']",2000-11-18
280,978,21,['LAP-00000589'],1999-01-01
281,366,34,"['FIT-00000757', 'FIT-00001059', 'FIT-00001704']",1998-01-16
282,759,29,"['AUT-00000624', 'FIT-00002149', 'LAP-00000541', 'FIT-00002320']",1995-03-20
283,351,20,"['LAP-00000596', 'LAP-00000238', 'CEL-00000018']",1993-01-03
284,241,24,"['AUT-00000274', 'FIT-00001947', 'FIT-00001134', 'FIT-00002354']",2000-01-09
285,145,5,['FIT-00002145'],1992-07-07
286,611,22,"['AUT-00001046', 'AUT-00001246']",1992-06-17
287,276,3,"['FIT-00000011', 'FIT-00001870']",1995-11-10
288,504,19,"['FIT-00002283', 'AUT-00001027', 'FIT-00000774', 'LAP-00000192']",1993-05-17
289,702,34,"['AUT-00001420', 'AUT-00001371']",1996-09-25
290,439,9,['CEL-00000401'],1997-11-18
291,648,0,"['FIT-00001020', 'AUT-00000748', 'AUT-00000386']",1993-05-04
292,97,32,"['AUT-00001255', 'LAP-00000613', 'LAP-00000040', 'AUT-00000897']",1993-09-06
293,503,4,"['AUT-00000511', 'FIT-00001106', 'FIT-00001936', 'FIT-00001306']",2000-01-01
294,422,18,"['AUT-00001021', 'AUT-00001005', 'FIT-00000717', 'AUT-00000365']",1995-12-21
295,978,10,"['AUT-00000564', 'LAP-00000376', 'AUT-00000208', 'FIT-00001217']",1998-08-09
296,941,18,"['LAP-00000600', 'AUT-00000645']",1998-01-10
297,585,34,"['FIT-00001774', 'LAP-00000369', 'AUT-00000458', 'FIT-00001379']",1999-05-14
298,693,17,"['AUT-00000570', 'FIT-00002364']",1995-01-30
299,937,21,"['FIT-00002142', 'AUT-00000715']",1990-06-01
300,604,6,"['FIT-00002227', 'CEL-00000752']",1993-07-14
301,205,17,"['AUT-00000587', 'LAP-00000613', 'CEL-00000048']",1991-07-05
302,831,20,"['FIT-00000857', 'AUT-00000331']",1998-07-11
303,536,14,['FIT-00000569'],1995-11-29
304,417,34,"['AUT-00000922', 'FIT-00002425']",1995-06-03
305,361,8,"['AUT-00000091', 'FIT-00000532', 'AUT-00000479']",1997-12-04
306,822,4,"['CEL-00000135', 'LAP-00000787', 'CEL-00000458', 'LAP-00000270']",1992-06-15
307,432,19,"['AUT-00000975', 'CEL-00000250', 'AUT-00000277', 'FIT-00001932']",1990-06-17
308,907,24,"['FIT-00002281', 'FIT-00000632']",1998-02-27
309,650,1,"['LAP-00000557', 'LAP-00000705', 'FIT-00001406', 'FIT-00000482']",1998-01-12
310,20,0,"['LAP-00000154', 'AUT-00001327', 'LAP-00000716']",1996-10-14
311,672,8,"['FIT-00001990', 'FIT-00000787']",2000-07-10
312,973,7,"['FIT-00000983', 'FIT-00002193', 'FIT-00002433']",2000-04-06
313,614,15,"['AUT-00001123', 'CEL-00000712', 'CEL-00000613']",1991-08-05
314,376,6,"['AUT-00000547', 'FIT-00001379', 'FIT-00002302']",1993-04-16
315,436,23,"['AUT-00000503', 'FIT-00001919', 'FIT-00001248']",1999-11-17
316,395,30,"['FIT-00000488', 'AUT-00001300', 'FIT-00001185']",1996-06-26
317,676,4,"['AUT-00000758', 'FIT-00000368']",1990-10-01
318,60,30,['FIT-00002419'],1993-06-05
319,293,33,"['FIT-00000910', 'LAP-00000353']",1997-12-01
320,424,3,"['FIT-00002446', 'LAP-00000183']",1990-04-06
321,676,19,['AUT-00000341'],1998-07-29
322,667,26,"['FIT-00000620', 'FIT-00001015']",1997-03-10
323,754,7,['AUT-00000131'],2000-02-19
324,203,24,"['AUT-00001344', 'AUT-00001205', 'CEL-00000645', 'AUT-00001131']",1995-02-10
325,794,11,"['AUT-00000295', 'LAP-00000008']",1994-07-21
326,266,33,"['LAP-00000115', 'FIT-00000742', 'CEL-00000660']",1992-09-13
327,210,14,"['FIT-00002158', 'AUT-00000043', 'AUT-00001329']",1997-05-21
328,811,4,"['FIT-00000799', 'FIT-00001916']",2000-09-23
329,626,11,"['AUT-00000075', 'AUT-00001250', 'FIT-00000420', 'CEL-00000255']",1994-12-30
330,116,32,['FIT-00001672'],1995-02-13
331,426,6,"['LAP-00000410', 'AUT-00000261', 'CEL-00000315', 'AUT-00000071']",1995-03-07
332,160,20,"['AUT-00001409', 'FIT-00000280']",1993-10-20
333,789,14,"['FIT-00002212', 'AUT-00000626', 'AUT-00000868']",1996-08-05
334,771,5,"['CEL-00000390', 'AUT-00000788', 'AUT-00000002', 'FIT-00001956']",1995-04-11
335,133,16,['FIT-00001538'],1996-11-30
336,984,14,"['AUT-00000470', 'AUT-00000547', 'FIT-00000027', 'AUT-00000498']",1996-10-10
337,397,29,"['AUT-00001018', 'LAP-00000367', 'FIT-00000674']",1993-03-29
338,778,20,"['FIT-00001017', 'FIT-00002097']",1995-07-22
339,756,24,['LAP-00000810'],1995-10-05
340,222,6,"['FIT-00002034', 'FIT-00001182']",1993-04-20
341,557,32,"['LAP-00000000', 'FIT-00001594', 'FIT-00000087']",1998-01-01
342,214,0,"['FIT-00001287', 'FIT-00001280']",1992-09-05
343,372,7,['AUT-00000466'],1990-05-11
344,308,24,['FIT-00001600'],1992-03-30
345,411,22,"['FIT-00000343', 'CEL-00000349']",1999-07-11
346,672,31,"['AUT-00000470', 'AUT-00000942', 'LAP-00000774', 'AUT-00000234']",1992-03-12
347,623,2,"['FIT-00002418', 'CEL-00000069', 'FIT-00002334', 'FIT-00001912']",1997-07-31
348,802,18,"['FIT-00001276', 'FIT-00001725', 'FIT-00001463']",1995-06-03
349,67,13,"['CEL-00000559', 'LAP-00000417', 'LAP-00000432']",1998-06-08
350,513,22,"['FIT-00001760', 'FIT-00001651']",2000-05-07
351,391,10,"['FIT-00000513', 'FIT-00000963']",1990-11-11
352,556,5,"['FIT-00001852', 'FIT-00002261', 'FIT-00000404', 'FIT-00001492']",1993-05-13
